แนวเรื่อง (Genre) และ ช่องทางรับชมที่ถูกลิขสิทธิ์ (ในไทย) ของทั้ง 320 เรื่อง ดังนี้ครับ:

86 -Eighty Six- | แนว: ไซไฟ, สงคราม, ดราม่า, เมก้า | ช่องทาง: Bilibili, iQIYI, Netflix
Nyan Koi! | แนว: ตลก, ฮาเร็ม, โรแมนติก | ช่องทาง: ขาดสตรีมมิ่งในไทยปัจจุบัน

Ojamajo Doremi | แนว: สาวน้อยเวทมนตร์, ชีวิตประจำวัน | ช่องทาง: TrueID

One Piece | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี | ช่องทาง: Bilibili, iQIYI, Netflix, Viu, TrueID

One Punch Man | แนว: แอ็กชัน, ซูเปอร์ฮีโร่, ตลก | ช่องทาง: Netflix, Bilibili, iQIYI, Muse Thailand

Oshi no Ko | แนว: วงการบันเทิง, ไอดอล, ดราม่า, สืบสวน | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Ouran High School Host Club | แนว: โรแมนติก, ตลก, ฮาเร็ม (Reverse) | ช่องทาง: Netflix, Bilibili

Overlord | แนว: ต่างโลก (เกม), ดาร์กแฟนตาซี, แอ็กชัน | ช่องทาง: Bilibili, iQIYI, Netflix, Ani-One Asia

Overlord II | แนว: ต่างโลก, ดาร์กแฟนตาซี, แอ็กชัน | ช่องทาง: Bilibili, iQIYI, Netflix, Ani-One Asia

Overlord III | แนว: ต่างโลก, ดาร์กแฟนตาซี, แอ็กชัน | ช่องทาง: Bilibili, iQIYY, Netflix, Ani-One Asia

Parasyte: The Maxim | แนว: ไซไฟ, สยองขวัญ, จิตวิทยา, แอ็กชัน | ช่องทาง: Netflix, Bilibili, Muse Thailand

Plastic Memories | แนว: ไซไฟ, โรแมนติก, ดราม่า | ช่องทาง: Bilibili

Pokémon | แนว: ผจญภัย, แฟนตาซี, กีฬา (โปเกมอน) | ช่องทาง: Netflix, TrueID, Prime Video, YouTube Official

Pokémon: Advanced Generation | แนว: ผจญภัย, แฟนตาซี | ช่องทาง: TrueID

Psycho-Pass | แนว: ไซไฟ, ไซเบอร์พังก์, สืบสวนอาชญากรรม | ช่องทาง: Bilibili, Flixer

Qualidea Code | แนว: แอ็กชัน, ไซไฟ, พลังพิเศษ | ช่องทาง: Bilibili

Ranking of Kings | แนว: ผจญภัย, แฟนตาซี, ดราม่า | ช่องทาง: Netflix, Bilibili, Prime Video

Ranma 1/2 | แนว: ตลก, ศิลปะการต่อสู้, โรแมนติก | ช่องทาง: Netflix (ฉบับรีเมค กำลังมา)

Rascal Does Not Dream of Bunny Girl Senpai | แนว: โรแมนติก, เหนือธรรมชาติ, ดราม่า | ช่องทาง: Netflix, Bilibili, Ani-One Asia

Re:CREATORS | แนว: แอ็กชัน, ไซไฟ, เมก้า | ช่องทาง: Prime Video

Redo of Healer | แนว: ดาร์กแฟนตาซี, ล้างแค้น, เอคโค่ | ช่องทาง: Bilibili

Rent-a-Girlfriend | แนว: โรแมนติก, ตลก, ฮาเร็ม | ช่องทาง: Bilibili, iQIYI, Muse Thailand

Re:Zero | แนว: ต่างโลก, ดาร์กแฟนตาซี, จิตวิทยา (ย้อนเวลา) | ช่องทาง: Netflix, Bilibili, iQIYI, Muse Thailand, Ani-One

Rurouni Kenshin | แนว: แอ็กชัน, ซามูไร, อิงประวัติศาสตร์ | ช่องทาง: Prime Video (รีเมค)

Saga of Tanya the Evil | แนว: แอ็กชัน, สงคราม, ต่างโลก | ช่องทาง: Bilibili, Muse Thailand, Crunchyroll

Sailor Moon | แนว: สาวน้อยเวทมนตร์, โรแมนติก | ช่องทาง: Netflix (Crystal/ภาพยนตร์)

Saint Seiya | แนว: แอ็กชัน, แฟนตาซี, ตำนานเทพ | ช่องทาง: Netflix, Bilibili

Sankarea | แนว: โรแมนติก, ตลก, ซอมบี้ | ช่องทาง: Bilibili

Seraph of the End: Battle in Nagoya | แนว: แอ็กชัน, ดาร์กแฟนตาซี, แวมไพร์ | ช่องทาง: Netflix, Bilibili

Seton Academy: Join the Pack! | แนว: ตลก, โรงเรียน, สัตว์ประหลาด | ช่องทาง: Crunchyroll

Seven Knights Revolution: Hero Successor | แนว: แอ็กชัน, แฟนตาซี, เวทมนตร์ | ช่องทาง: Crunchyroll

Shaman King | แนว: แอ็กชัน, เหนือธรรมชาติ, ผจญภัย | ช่องทาง: Netflix (ฉบับปี 2021)

Shaman King (2021) | แนว: แอ็กชัน, เหนือธรรมชาติ, ผจญภัย | ช่องทาง: Netflix

Shangri-La Frontier | แนว: แอ็กชัน, ผจญภัย, เกม VR | ช่องทาง: Netflix, Bilibili, Muse Thailand

Sket Dance | แนว: ตลก, ชีวิตประจำวัน, โรงเรียน | ช่องทาง: Bilibili

Slam Dunk | แนว: กีฬา (บาสเกตบอล), ตลก, วัยรุ่น | ช่องทาง: Bilibili, iQIYI, Netflix

So I'm a Spider, So What? | แนว: ต่างโลก, แอ็กชัน, เอาชีวิตรอด | ช่องทาง: Bilibili, Ani-One Asia

Solo Leveling | แนว: แอ็กชัน, แฟนตาซี, ผจญภัย | ช่องทาง: Netflix, Bilibili, iQIYI, Crunchyroll

Soul Eater | แนว: แอ็กชัน, แฟนตาซี, เหนือธรรมชาติ | ช่องทาง: Bilibili

Space Battleship Yamato | แนว: ไซไฟ, อวกาศ, แอ็กชัน | ช่องทาง: แผ่นลิขสิทธิ์

Spice and Wolf | แนว: แฟนตาซี, เศรษฐศาสตร์, โรแมนติก | ช่องทาง: Netflix, Bilibili, Ani-One Asia

Spy x Family | แนว: ตลก, แอ็กชัน, สายลับ, ครอบครัว | ช่องทาง: Netflix, Bilibili, iQIYI, Prime, Muse Thailand

Steins;Gate | แนว: ไซไฟ (ข้ามเวลา), จิตวิทยา, ทริลเลอร์ | ช่องทาง: Bilibili

Steins;Gate 0 | แนว: ไซไฟ, จิตวิทยา, ทริลเลอร์ | ช่องทาง: Bilibili

Summer Time Rendering | แนว: ลึกลับ, เหนือธรรมชาติ, ไซไฟ (วนลูป) | ช่องทาง: Disney+ Hotstar

Suzume | แนว: ผจญภัย, แฟนตาซี, โรแมนติก | ช่องทาง: Netflix, Bilibili

Sword Art Online | แนว: แอ็กชัน, เกม VR, ไซไฟ, โรแมนติก | ช่องทาง: Netflix, Bilibili, iQIYI, Flixer

Sword Art Online: Alicization | แนว: แอ็กชัน, ไซไฟ, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, Flixer

Sword Art Online II | แนว: แอ็กชัน, เกม VR, ไซไฟ | ช่องทาง: Netflix, Bilibili, Flixer

Symphogear | แนว: ดนตรี, ไซไฟ, เมก้า, สาวน้อยเวทมนตร์ | ช่องทาง: Bilibili

Tengoku Daimakyou | แนว: ไซไฟ, ผจญภัย, ลึกลับ, เอาชีวิตรอด | ช่องทาง: Disney+ Hotstar

Terra Formars | แนว: แอ็กชัน, ไซไฟ, สยองขวัญ | ช่องทาง: Bilibili

That Time I Got Reincarnated as a Slime | แนว: ต่างโลก, การสร้างเมือง, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, Muse Thailand

The Apothecary Diaries | แนว: สืบสวน, อิงประวัติศาสตร์ (จีน), การแพทย์ | ช่องทาง: Netflix, Bilibili, iQIYI, Crunchyroll

The Eminence in Shadow | แนว: แอ็กชัน, ต่างโลก, ตลก (จูนิเบียว) | ช่องทาง: Bilibili, iQIYI

The God of High School | แนว: ศิลปะการต่อสู้, แอ็กชัน, แฟนตาซี | ช่องทาง: Bilibili, iQIYI, Crunchyroll

The Irregular at Magic High School: Visitor Arc | แนว: ไซไฟ, เวทมนตร์, แอ็กชัน | ช่องทาง: Bilibili, iQIYI, Netflix

The Promised Neverland | แนว: ระทึกขวัญ, จิตวิทยา, เอาชีวิตรอด | ช่องทาง: Netflix, Bilibili, iQIYI

The Quintessential Quintuplets | แนว: โรแมนติก, ตลก, ฮาเร็ม, โรงเรียน | ช่องทาง: Bilibili, Netflix

The Rising of the Shield Hero | แนว: ต่างโลก, แอ็กชัน, ดราม่า | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

The Seven Deadly Sins | แนว: แอ็กชัน, แฟนตาซี, ผจญภัย | ช่องทาง: Netflix (บางภาคใน Bilibili)

Tokyo Ghoul | แนว: ดาร์กแฟนตาซี, สยองขวัญ, จิตวิทยา | ช่องทาง: Netflix, Bilibili

Tokyo Ghoul √A | แนว: ดาร์กแฟนตาซี, แอ็กชัน | ช่องทาง: Netflix, Bilibili

Tokyo Ghoul:re | แนว: ดาร์กแฟนตาซี, แอ็กชัน | ช่องทาง: Netflix, Bilibili

Tokyo Revengers | แนว: แอ็กชัน, นักเลง, ไซไฟ (ย้อนเวลา) | ช่องทาง: Disney+ Hotstar, Bilibili, Muse Thailand

TONIKAWA: Over The Moon For You | แนว: โรแมนติก, ตลก, ชีวิตประจำวัน | ช่องทาง: Bilibili, Ani-One Asia

Tower of God | แนว: แอ็กชัน, ผจญภัย, แฟนตาซี, ปริศนา | ช่องทาง: Bilibili, iQIYI, Crunchyroll, Ani-One

To Your Eternity | แนว: ผจญภัย, แฟนตาซี, ดราม่า | ช่องทาง: Netflix, Bilibili, Ani-One Asia

Trigun | แนว: แอ็กชัน, ไซไฟ, คาวบอย | ช่องทาง: Bilibili, Crunchyroll

TSUKIMICHI -Moonlit Fantasy- | แนว: ต่างโลก, แฟนตาซี, ตลก | ช่องทาง: Bilibili, iQIYI, Ani-One Asia

Undead Unluck | แนว: แอ็กชัน, เหนือธรรมชาติ, ตลก | ช่องทาง: Disney+ Hotstar

Uzaki-chan Wants to Hang Out! | แนว: ตลก, ชีวิตประจำวัน, โรแมนติก | ช่องทาง: Bilibili

Vinland Saga | แนว: แอ็กชัน, ประวัติศาสตร์ (ไวกิ้ง), ปรัชญา | ช่องทาง: Netflix, Prime Video

Violet Evergarden | แนว: ดราม่า, สงคราม, ชีวิตประจำวัน | ช่องทาง: Netflix

Vivy: Fluorite Eye's Song | แนว: ไซไฟ, ดนตรี, แอ็กชัน (ข้ามเวลา) | ช่องทาง: Bilibili, Flixer

Weathering with You | แนว: โรแมนติก, แฟนตาซี, ดราม่า | ช่องทาง: Netflix, Bilibili

Wonder Egg Priority | แนว: จิตวิทยา, ดราม่า, แอ็กชัน | ช่องทาง: Bilibili

Your Lie in April | แนว: ดนตรี, โรแมนติก, ดราม่า | ช่องทาง: Bilibili

Your Name | แนว: โรแมนติก, แฟนตาซี, ไซไฟ (สลับร่าง) | ช่องทาง: Netflix, Bilibili

Yu Yu Hakusho | แนว: แอ็กชัน, เหนือธรรมชาติ, ปีศาจ | ช่องทาง: Netflix, Bilibili

Zom 100: Bucket List of the Dead | แนว: เอาชีวิตรอด (ซอมบี้), ตลก, ชีวิตประจำวัน | ช่องทาง: Netflix, Bilibili, Muse Thailand
